N,P,K,temperature,humidity,ph,rainfall,label
94.3,13.3,48.6,25.75,87.53,6.53,54.95,watermelon
17.5,19.7,31.8,33.59,48.97,5.65,95.23,mango
17.6,54.8,20.5,27.12,44.1,7.63,64.53,mothbeans
48.3,62.4,19.1,28.5,63.32,6.22,65.22,blackgram
100.2,58.7,24.0,18.18,53.05,5.75,93.47,maize
53.3,55.5,46.5,33.23,85.37,6.68,113.37,papaya
101.3,81.3,46.9,31.92,83.82,5.99,99.27,banana
92.4,17.8,34.9,22.4,64.91,6.58,185.25,coffee
17.1,15.4,8.8,20.23,91.29,6.72,114.6,orange
27.9,30.8,33.6,25.14,69.56,6.26,53.61,groundnut
22.0,10.0,39.8,19.06,87.26,6.68,90.19,pomegranate
72.7,51.3,46.3,28.93,70.43,6.45,149.48,turmeric
24.7,52.9,37.2,20.82,76.85,6.51,92.18,soybean
22.3,15.2,32.8,26.0,98.72,6.73,214.42,coconut
23.8,63.9,81.4,17.34,22.76,6.07,82.34,chickpea
24.6,124.0,200.8,23.25,90.87,6.28,107.1,apple
106.9,24.4,34.5,24.09,53.21,6.5,198.28,coffee
120.5,54.8,62.7,27.81,76.26,6.63,225.65,sugarcane
19.2,17.0,35.8,22.29,91.16,6.28,96.2,pomegranate
20.7,53.5,21.4,30.35,45.26,4.29,45.02,mothbeans
100.0,43.6,58.3,30.71,75.97,6.46,241.35,rice
31.7,53.6,31.1,25.07,76.7,6.86,81.1,soybean
22.5,34.4,22.0,22.8,51.06,6.07,77.12,groundnut
116.4,43.7,31.4,17.12,58.91,6.36,56.12,wheat
101.2,19.6,25.3,22.01,55.25,6.96,206.74,coffee
16.3,15.6,10.0,21.52,90.98,6.92,114.71,orange
21.6,13.1,30.8,27.19,98.92,5.98,147.33,coconut
63.9,49.0,57.1,21.01,70.4,7.49,130.37,turmeric
98.2,24.1,29.1,25.33,64.2,6.76,150.95,coffee
36.4,67.0,21.7,26.57,64.53,6.21,73.2,blackgram
114.7,59.6,24.1,17.08,50.69,6.28,33.26,wheat
16.5,11.5,30.3,27.73,95.78,5.79,191.34,coconut
64.6,59.1,64.3,24.71,81.49,6.67,120.13,turmeric
74.6,55.5,39.3,18.97,50.51,6.12,93.87,maize
33.0,68.2,86.5,15.71,16.66,6.46,82.47,chickpea
21.7,124.0,205.0,16.61,81.43,6.18,73.39,grapes
15.2,18.6,11.1,17.39,93.61,6.99,110.78,orange
23.8,39.8,25.7,25.12,61.45,6.81,54.0,groundnut
106.3,70.4,45.6,31.32,79.43,5.63,117.15,banana
52.1,58.7,53.5,31.93,86.38,6.15,43.55,papaya
112.5,52.8,34.3,23.66,47.81,6.46,31.57,wheat
22.2,44.8,36.8,20.54,66.67,6.79,107.18,soybean
27.5,68.4,15.9,29.82,38.52,5.97,147.64,pigeonpeas
19.9,14.4,9.2,21.97,90.95,6.28,106.95,orange
76.1,35.9,52.2,20.23,63.74,6.62,111.58,chilli
108.2,17.0,51.5,30.04,85.47,6.6,51.64,watermelon
11.1,36.2,19.4,27.87,36.12,7.44,47.81,mothbeans
107.6,49.8,23.7,12.9,59.26,6.43,36.99,wheat
49.1,59.5,46.8,32.72,92.13,6.16,90.02,papaya
27.2,62.9,16.1,21.2,65.92,6.55,53.63,lentil
15.0,37.5,18.7,31.12,52.3,9.32,49.67,mothbeans
109.3,12.9,46.8,29.46,81.87,6.17,47.71,watermelon
15.4,68.6,23.4,27.1,57.7,4.84,121.56,pigeonpeas
118.8,57.2,40.2,29.21,83.63,6.31,190.02,rice
24.1,24.1,25.7,30.1,48.97,5.99,90.52,mango
18.0,17.8,29.9,32.57,45.98,6.8,87.69,mango
109.0,58.7,48.1,27.96,77.59,6.79,179.07,sugarcane
18.4,57.2,23.5,18.68,23.34,6.07,100.36,kidneybeans
27.4,70.2,21.8,20.38,65.77,6.27,48.28,lentil
109.4,45.3,19.7,27.87,76.32,7.42,91.93,cotton
70.2,53.8,35.4,18.96,58.5,5.85,107.9,maize
82.6,56.2,34.4,20.7,56.19,6.32,80.12,maize
49.1,62.9,22.7,24.24,64.1,7.49,69.81,blackgram
75.5,36.3,38.5,26.4,80.53,6.12,185.49,jute
40.0,74.5,15.5,27.5,72.58,6.51,75.38,blackgram
100.3,15.6,26.2,23.52,51.32,6.67,200.36,coffee
22.2,35.0,24.6,26.57,86.46,7.36,42.24,mungbean
20.5,124.7,199.7,23.07,91.83,6.0,104.21,apple
83.9,51.8,42.6,23.51,67.64,6.88,90.62,chilli
85.4,49.4,25.1,24.38,50.03,7.35,86.92,maize
99.5,21.5,33.9,24.5,59.84,6.69,159.58,coffee
28.2,39.1,25.4,27.73,66.43,6.02,88.67,groundnut
20.9,49.9,18.4,31.51,87.55,6.3,52.73,mungbean
90.9,12.1,54.1,26.89,84.7,6.45,40.7,watermelon
22.5,31.1,16.4,26.66,84.74,6.69,55.16,mungbean
18.8,15.4,27.0,29.98,45.14,5.98,101.66,mango
61.3,47.1,57.6,28.71,82.77,5.81,129.21,turmeric
99.7,59.8,31.1,24.94,41.53,6.16,53.0,wheat
117.3,57.6,57.6,25.7,73.15,6.75,255.53,rice
77.7,43.2,37.3,26.7,55.58,6.78,79.98,maize
78.8,40.5,28.7,18.26,56.72,6.86,80.22,maize
100.3,10.1,53.3,28.24,90.47,6.54,28.21,muskmelon
19.1,51.1,20.1,22.35,45.82,4.64,181.49,pigeonpeas
18.4,16.8,35.5,18.8,92.84,6.46,92.48,pomegranate
16.6,11.6,39.7,21.25,90.36,6.96,94.15,pomegranate
33.3,41.3,40.2,27.51,72.9,6.51,84.93,soybean
78.3,51.1,42.7,27.85,74.12,6.64,176.15,jute
21.9,121.2,203.1,22.38,93.15,5.95,106.69,apple
13.9,40.2,19.5,31.97,38.57,9.46,52.28,mothbeans
22.0,127.4,203.5,21.4,90.9,5.63,111.52,apple
16.9,23.3,33.4,29.0,49.56,6.88,99.09,mango
16.8,21.3,25.0,29.19,52.61,5.75,100.29,mango
32.3,43.8,40.7,27.9,66.55,6.05,99.78,soybean
48.7,74.2,16.2,32.0,67.18,6.36,72.09,blackgram
23.1,46.6,17.2,25.98,87.55,7.31,42.05,mungbean
72.6,45.2,30.9,21.74,54.14,6.34,105.24,maize
127.2,52.9,56.8,31.61,81.74,6.23,158.11,sugarcane
15.5,137.0,203.3,16.71,81.79,6.31,71.22,grapes
92.7,22.6,32.0,25.34,50.81,6.33,149.26,coffee
107.2,15.0,49.2,27.75,90.48,6.38,26.15,muskmelon
78.2,53.8,41.1,23.26,73.6,6.5,197.51,jute
35.9,57.6,42.4,23.4,78.75,6.78,82.7,soybean
23.5,57.7,44.4,23.4,71.09,6.18,61.07,soybean
104.4,47.9,24.1,27.72,71.55,5.65,82.85,cotton
77.3,47.4,38.7,24.23,81.18,6.07,185.47,jute
19.4,40.8,24.6,27.86,54.14,7.95,47.44,mothbeans
22.0,18.2,44.9,21.38,86.32,6.07,97.66,pomegranate
24.7,10.8,36.0,19.07,93.2,6.07,101.36,pomegranate
16.2,66.9,16.0,28.79,59.23,6.71,94.15,pigeonpeas
19.6,16.6,38.6,18.51,90.34,6.22,98.59,pomegranate
22.7,38.2,21.1,25.3,89.91,7.11,47.48,mungbean
47.5,61.9,54.1,34.37,92.18,6.1,52.56,papaya
104.9,74.8,54.8,26.18,83.85,5.59,111.27,banana
15.5,40.2,22.7,30.13,89.78,6.97,50.51,mungbean
94.4,86.9,53.0,27.48,83.39,6.35,95.28,banana
106.5,54.5,20.8,23.1,82.55,7.09,90.57,cotton
23.1,53.3,22.0,25.1,86.16,6.88,46.06,mungbean
18.0,12.6,9.5,15.01,93.19,6.57,103.71,orange
34.9,56.6,84.1,17.71,17.51,6.18,65.78,chickpea
33.8,60.4,21.7,28.82,73.1,6.28,75.23,blackgram
26.9,67.9,19.5,29.34,52.81,5.3,142.32,pigeonpeas
21.9,128.3,197.6,20.47,82.37,6.11,71.95,grapes
50.5,57.9,46.3,33.56,87.74,6.42,97.71,papaya
16.7,34.1,19.6,26.06,81.86,7.1,59.77,mungbean
99.8,71.8,47.3,26.53,80.26,5.5,117.54,banana
21.7,129.7,202.4,24.45,91.91,5.79,112.63,apple
97.8,18.0,50.5,31.68,81.44,6.68,53.71,watermelon
17.7,134.3,202.3,21.16,90.75,5.99,106.84,apple
85.8,52.3,49.1,25.72,70.92,7.06,93.66,chilli
20.5,16.6,29.7,26.32,93.85,6.89,205.6,coconut
20.9,18.4,32.0,29.31,93.12,6.73,194.16,coconut
28.5,49.4,38.2,28.05,66.34,6.38,68.98,soybean
105.8,35.7,24.2,28.0,80.9,6.63,62.46,cotton
95.5,19.2,34.1,24.14,55.8,6.53,214.91,coffee
24.7,19.4,33.3,29.16,49.17,6.47,88.76,mango
106.5,21.8,28.0,26.11,63.77,6.1,186.4,coffee
17.5,132.8,197.0,24.44,94.32,5.72,102.26,apple
24.4,31.8,31.5,23.44,50.37,6.7,84.51,groundnut
25.8,43.9,41.7,27.66,60.88,6.03,69.89,soybean
24.7,33.9,33.7,22.52,56.1,6.34,50.79,groundnut
22.4,13.2,37.7,18.6,87.03,6.78,101.69,pomegranate
24.6,44.9,20.0,31.39,45.58,8.71,58.18,mothbeans
82.6,48.6,46.3,20.65,57.56,6.1,75.58,chilli
87.3,45.2,50.6,25.28,83.01,6.9,144.62,turmeric
97.6,80.9,46.0,28.36,83.64,6.15,110.61,banana
16.9,24.5,34.2,30.23,47.28,6.59,87.62,mango
103.7,19.1,50.0,28.0,93.68,6.7,22.07,muskmelon
106.6,19.0,52.7,30.25,92.61,6.3,20.43,muskmelon
88.4,58.9,57.5,25.15,83.11,6.09,287.18,rice
20.8,24.4,25.7,34.12,50.0,6.8,92.63,mango
21.8,10.7,42.0,23.84,93.46,6.06,91.72,pomegranate
27.9,46.1,47.8,25.71,78.71,6.37,87.53,soybean
29.4,57.3,24.4,16.56,63.12,6.46,44.14,lentil
15.9,62.0,17.8,20.93,63.24,6.7,45.79,lentil
99.6,14.8,47.1,27.81,94.17,6.02,20.43,muskmelon
19.3,47.9,18.5,27.54,82.56,6.72,45.05,mungbean
37.7,55.5,32.9,23.09,66.86,6.37,60.4,soybean
15.7,38.6,15.6,31.95,89.35,6.1,63.34,mungbean
35.9,41.2,36.2,24.36,79.19,6.75,75.56,soybean
21.7,139.6,203.0,24.58,82.52,6.49,68.22,grapes
73.7,45.6,25.5,18.03,65.42,6.77,73.1,maize
15.3,55.0,17.7,31.84,58.44,3.99,55.94,mothbeans
63.8,64.8,50.7,20.93,73.79,6.54,175.7,turmeric
25.1,34.9,30.3,26.58,59.52,6.85,70.27,groundnut
17.6,124.6,209.8,17.96,82.32,6.07,66.75,grapes
34.3,72.3,15.6,28.03,64.34,7.22,74.63,blackgram
22.1,17.0,36.6,25.62,90.23,6.78,104.42,pomegranate
79.5,47.5,51.0,27.37,71.33,7.47,180.54,turmeric
91.8,80.9,46.8,31.2,78.69,5.95,97.9,banana
102.3,79.7,45.3,31.6,76.65,6.39,94.71,banana
87.7,47.1,42.9,27.47,82.23,6.17,198.51,jute
29.0,40.1,33.9,20.82,71.44,6.03,96.87,soybean
32.1,65.8,74.5,20.23,19.51,6.66,85.8,chickpea
17.5,10.7,11.1,18.23,94.62,6.13,113.43,orange
93.7,10.7,50.1,27.33,85.37,6.09,43.32,watermelon
17.6,130.7,191.0,24.95,83.31,6.46,65.2,grapes
96.9,14.5,50.9,28.15,91.93,6.09,22.02,muskmelon
103.5,75.2,54.9,25.22,79.04,5.95,112.44,banana
107.1,16.9,25.7,27.05,59.51,6.68,154.34,coffee
16.9,21.8,31.3,28.99,51.94,6.02,87.58,mango
19.3,14.5,41.1,20.47,92.42,6.74,92.39,pomegranate
105.5,13.7,47.2,30.18,87.33,6.29,46.97,watermelon
108.7,43.1,45.9,31.69,81.58,6.31,262.2,rice
32.7,59.8,71.8,18.48,18.33,7.01,85.73,chickpea
54.7,64.1,48.3,32.34,87.07,6.11,99.55,papaya
18.5,18.2,9.7,23.68,94.35,6.34,113.06,orange
104.8,18.6,52.4,28.49,82.38,6.78,51.98,watermelon
108.5,14.4,45.6,28.11,90.4,6.03,23.84,muskmelon
109.6,13.2,52.0,28.17,88.3,6.83,43.95,watermelon
16.0,17.5,40.9,21.07,94.63,6.31,92.8,pomegranate
17.6,13.7,10.4,15.71,94.65,6.31,109.83,orange
116.0,39.4,23.0,25.41,82.17,7.46,87.14,cotton
87.6,41.9,48.6,26.24,79.34,6.59,251.0,rice
106.0,50.9,44.4,27.89,86.19,5.51,270.87,rice
15.4,135.7,199.8,22.98,91.86,5.59,103.15,apple
78.4,47.0,35.3,26.92,67.93,6.0,88.59,chilli
19.4,17.9,30.4,26.65,96.63,5.62,213.78,coconut
31.5,52.7,35.1,24.21,74.49,6.44,72.16,soybean
98.6,10.0,47.5,25.77,87.4,6.44,52.6,watermelon
19.5,19.5,27.2,27.12,91.12,6.68,200.0,coconut
75.6,50.9,53.0,26.81,73.84,6.11,174.27,turmeric
17.9,124.6,195.1,21.87,92.06,6.06,107.9,apple
39.5,60.5,75.7,16.01,16.94,6.34,65.38,chickpea
92.6,40.4,34.0,24.9,53.36,6.71,97.4,maize
36.3,57.1,15.1,26.47,65.4,6.4,62.65,blackgram
19.2,40.0,23.7,25.28,39.82,7.25,47.82,mothbeans
99.8,19.9,54.0,31.34,92.45,6.79,29.16,muskmelon
19.2,58.2,18.4,26.37,57.62,6.12,97.25,pigeonpeas
24.1,37.6,29.9,29.53,63.81,6.79,59.59,groundnut
24.2,14.7,29.6,29.79,97.1,6.2,150.85,coconut
17.6,54.3,17.2,26.82,31.52,6.72,62.06,mothbeans
24.1,19.6,28.2,32.73,52.79,6.23,97.62,mango
89.2,39.2,42.5,24.58,77.05,6.27,184.01,jute
94.8,20.7,26.0,25.47,50.28,6.22,155.32,coffee
19.0,35.3,20.2,25.94,34.31,6.29,55.37,mothbeans
54.8,60.0,53.1,33.01,93.79,6.71,129.63,papaya
21.0,15.0,8.9,17.9,91.97,6.2,101.65,orange
16.7,74.3,16.4,24.67,24.02,6.22,109.0,kidneybeans
24.4,136.8,199.7,20.08,84.61,6.12,70.79,grapes
17.6,45.7,21.2,30.73,81.48,7.02,40.79,mungbean
103.4,47.6,32.8,15.02,51.75,7.48,36.98,wheat
103.3,16.1,52.6,29.71,90.21,6.39,26.21,muskmelon
107.4,48.1,35.6,18.99,46.52,6.03,53.56,wheat
24.0,67.2,20.9,18.83,68.46,6.62,56.27,lentil
22.6,68.1,18.5,28.18,58.66,6.54,115.99,pigeonpeas
22.9,16.0,29.3,26.26,95.09,6.33,170.5,coconut
19.3,65.0,19.5,25.48,40.83,6.52,141.59,pigeonpeas
70.5,44.1,42.7,29.12,78.11,6.79,168.52,jute
104.9,11.5,49.6,26.65,80.88,6.05,51.91,watermelon
67.0,49.4,63.2,23.39,75.05,7.18,165.7,turmeric
100.9,11.7,51.5,28.83,93.27,6.67,25.17,muskmelon
75.5,38.9,43.0,27.8,89.37,6.47,158.82,jute
16.1,135.2,194.4,18.41,84.15,6.68,67.92,grapes
111.3,48.1,28.1,19.54,53.11,6.71,45.38,wheat
18.9,15.4,32.1,31.58,46.9,6.59,89.45,mango
96.8,20.9,34.9,22.74,66.76,6.73,162.28,coffee
110.0,19.9,26.1,24.63,63.17,6.09,151.47,coffee
51.3,56.2,46.3,29.62,91.23,6.2,90.45,papaya
22.1,10.9,44.2,25.18,90.2,6.7,97.45,pomegranate
25.4,31.6,16.2,26.45,84.05,6.75,62.38,mungbean
88.3,46.7,51.3,29.82,64.11,5.62,175.92,turmeric
54.3,55.9,48.0,30.95,88.79,6.05,87.01,papaya
109.2,44.0,46.2,31.95,83.0,6.16,227.64,rice
74.1,54.6,37.4,23.79,79.57,6.94,179.01,jute
101.0,10.1,47.5,28.96,87.81,6.87,52.45,watermelon
93.3,71.5,53.5,27.06,78.19,6.45,92.23,banana
18.9,137.0,206.0,21.49,83.98,6.08,71.96,grapes
105.2,17.0,46.0,27.67,92.39,6.19,28.59,muskmelon
112.6,54.2,15.9,26.28,84.41,5.66,78.39,cotton
24.2,63.2,73.1,16.74,15.75,6.0,73.52,chickpea
70.7,41.3,38.4,25.61,80.8,6.16,165.08,jute
14.4,35.9,17.0,24.34,58.0,6.85,64.73,mothbeans
85.4,35.7,40.3,26.35,85.96,6.82,172.62,jute
23.6,14.4,35.0,25.66,87.02,6.69,92.64,pomegranate
103.8,58.2,56.4,26.03,70.1,6.12,200.34,sugarcane
111.9,41.7,16.2,23.13,76.23,6.89,82.14,cotton
79.3,47.7,43.6,23.49,87.87,6.33,151.64,jute
100.1,56.3,39.1,21.77,64.95,6.59,90.16,maize
63.9,50.9,59.2,29.6,80.83,6.85,173.46,turmeric
19.2,24.9,29.4,34.98,51.27,6.75,90.16,mango
137.1,45.8,52.1,29.67,74.7,6.74,234.58,sugarcane
64.8,45.6,60.9,25.93,66.03,7.05,172.65,turmeric
100.5,20.3,30.5,26.54,52.28,6.46,146.11,coffee
104.0,10.7,54.3,24.85,87.87,6.3,41.3,watermelon
91.8,55.9,31.7,19.33,52.55,6.12,104.95,maize
19.8,16.9,26.4,30.12,99.84,6.98,200.1,coconut
34.1,73.3,20.5,30.2,65.71,6.8,67.19,blackgram
100.2,14.0,50.0,29.3,88.48,6.81,49.21,watermelon
104.6,55.3,25.3,25.09,52.16,7.24,102.93,maize
104.7,14.8,48.6,25.75,84.88,6.06,45.54,watermelon
95.6,15.2,30.4,24.67,63.43,6.09,180.94,coffee
107.7,10.8,45.8,24.15,85.07,6.03,48.73,watermelon
72.7,40.1,37.3,20.99,58.36,6.22,75.33,chilli
139.8,60.3,48.0,30.82,78.15,7.2,155.32,sugarcane
16.5,15.0,8.9,15.51,93.66,6.59,108.91,orange
27.3,70.9,19.1,20.49,66.33,6.24,53.17,lentil
101.8,56.5,38.0,19.89,54.99,5.71,99.01,maize
29.5,60.8,21.9,20.4,65.76,6.24,47.52,lentil
21.5,32.5,32.7,28.3,66.81,6.54,61.49,groundnut
34.1,66.2,77.7,21.64,23.21,7.47,74.86,chickpea
16.3,46.7,16.8,25.12,83.24,6.37,46.52,mungbean
11.8,52.1,19.5,31.19,43.35,4.07,57.05,mothbeans
21.3,69.8,16.5,19.15,18.69,5.99,80.41,kidneybeans
19.1,15.5,28.7,31.85,95.68,6.56,140.18,coconut
96.0,56.2,30.5,23.83,57.58,6.69,47.28,wheat
101.8,53.8,21.6,28.68,84.26,6.78,88.32,cotton
17.6,55.0,19.4,24.15,48.3,4.9,131.01,pigeonpeas
104.0,59.6,33.9,20.81,59.45,7.04,39.96,wheat
21.0,68.8,79.6,23.22,19.01,6.11,78.88,chickpea
14.8,44.3,17.7,25.98,32.9,5.39,49.6,mothbeans
102.0,88.4,54.7,26.55,80.66,6.44,94.22,banana
101.5,11.6,51.3,27.2,92.86,6.04,22.58,muskmelon
16.0,128.2,201.1,15.0,80.45,6.42,71.19,grapes
16.0,28.1,26.2,28.59,62.92,6.26,74.05,groundnut
16.6,134.7,198.9,21.89,91.31,5.92,104.79,apple
97.9,48.4,45.6,24.5,88.47,6.16,279.2,rice
29.5,71.1,18.7,22.91,18.1,6.04,82.74,kidneybeans
18.6,14.6,10.7,23.83,90.83,6.27,108.03,orange
39.6,48.5,31.5,22.5,63.29,6.31,91.3,soybean
24.0,22.1,30.0,34.2,53.0,6.52,97.41,mango
103.2,48.7,37.9,24.69,59.49,6.02,72.36,maize
88.4,43.1,40.0,24.02,79.16,6.32,150.21,jute
99.4,50.6,45.8,24.24,73.23,6.68,60.06,chilli
115.5,42.7,18.3,22.48,84.33,6.03,77.62,cotton
65.2,49.1,52.3,21.18,59.25,6.71,104.79,chilli
113.9,52.1,56.1,29.3,80.72,6.96,206.78,rice
110.0,47.6,34.9,23.13,47.93,6.02,33.44,wheat
22.7,15.1,34.1,32.18,51.01,5.51,90.05,mango
94.3,44.3,20.7,20.78,44.32,7.05,55.1,wheat
20.0,50.7,20.3,29.67,83.0,7.22,49.21,mungbean
17.0,48.9,21.3,30.49,31.89,8.55,51.44,mothbeans
43.5,71.1,24.1,24.86,61.44,6.22,63.84,blackgram
15.5,19.0,44.5,21.96,86.13,6.5,101.88,pomegranate
74.8,46.2,35.1,28.12,89.0,6.13,164.79,jute
29.5,65.1,19.9,22.53,64.16,6.84,49.77,lentil
93.6,19.6,51.0,29.82,90.09,6.58,26.62,muskmelon
21.5,34.7,20.6,23.27,52.73,6.26,82.14,groundnut
18.7,17.1,11.3,17.66,90.2,6.11,106.08,orange
28.0,61.3,19.0,19.99,52.16,4.58,172.07,pigeonpeas
111.9,56.6,23.4,14.17,48.31,6.16,39.81,wheat
88.6,42.6,58.7,27.71,79.45,6.68,271.12,rice
65.7,46.8,36.0,28.94,72.78,6.32,109.15,chilli
24.6,123.0,203.1,20.88,92.5,6.5,116.99,apple
106.0,85.9,54.9,30.47,78.59,6.04,104.54,banana
106.7,48.8,16.8,26.38,80.09,7.16,60.48,cotton
27.7,64.1,21.6,21.42,22.18,5.52,99.34,kidneybeans
44.5,66.2,19.8,30.96,64.99,7.44,60.31,blackgram
21.8,67.7,23.8,16.02,65.16,6.28,58.73,lentil
16.2,67.3,23.6,26.61,47.75,5.66,150.97,pigeonpeas
17.0,33.8,22.5,28.85,84.16,6.82,51.77,mungbean
104.7,57.9,26.2,21.59,55.14,6.93,31.8,wheat
100.6,12.3,53.0,30.95,91.91,6.47,27.41,muskmelon
45.3,63.2,23.4,25.85,70.61,6.01,70.11,blackgram
21.3,126.5,196.7,21.38,90.6,6.29,100.18,apple
22.3,19.8,10.4,20.18,94.97,6.45,106.01,orange
25.6,37.8,16.2,31.33,82.95,6.92,45.48,mungbean
23.4,125.7,206.9,23.08,82.61,6.02,66.45,grapes
37.5,57.0,49.4,28.86,64.18,6.08,83.53,soybean
20.8,29.7,25.6,25.68,50.66,6.56,84.41,groundnut
102.1,15.0,46.4,27.83,90.39,6.51,22.12,muskmelon
30.2,67.6,87.3,17.76,22.9,6.62,88.03,chickpea
117.3,61.1,51.2,29.48,67.63,7.0,233.21,sugarcane
18.8,20.9,26.7,33.59,47.98,5.94,99.56,mango
97.5,14.3,50.6,25.04,85.84,6.26,44.96,watermelon
21.9,120.2,197.1,22.91,91.63,6.11,105.19,apple
23.0,60.8,76.9,20.52,20.43,6.68,69.65,chickpea
70.8,48.5,40.0,21.15,63.0,7.06,92.59,maize
51.4,55.1,47.0,30.25,92.9,6.25,95.74,papaya
110.4,43.0,28.0,14.95,54.98,6.71,45.47,wheat
105.1,14.1,52.8,29.41,91.85,6.44,22.54,muskmelon
105.4,45.2,32.4,19.39,68.6,7.23,108.81,maize
76.5,50.6,38.3,23.69,84.75,6.87,168.78,jute
17.6,57.6,22.0,25.0,59.17,6.52,97.93,pigeonpeas
87.4,51.9,53.5,24.35,72.4,6.84,186.93,rice
18.1,40.1,22.5,25.53,40.71,8.58,61.64,mothbeans
89.1,62.2,49.2,26.49,76.24,6.37,162.61,turmeric
106.5,15.1,30.2,24.24,59.7,6.34,212.86,coffee
82.0,48.7,20.0,20.58,58.6,6.66,92.74,maize
20.2,37.9,28.2,29.62,50.63,6.43,86.6,groundnut
16.7,17.7,31.0,25.89,91.03,6.73,201.71,coconut
15.4,72.7,20.6,24.15,19.55,5.56,101.19,kidneybeans
117.6,42.7,42.3,23.07,81.06,5.91,240.72,rice
16.1,15.2,8.3,23.35,90.65,7.31,104.04,orange
105.7,74.5,50.9,26.23,78.07,6.19,93.82,banana
105.1,55.8,48.4,22.64,77.63,6.99,229.37,rice
19.7,16.8,26.1,25.38,94.26,5.77,183.65,coconut
12.1,50.8,15.3,28.43,41.07,8.72,53.79,mothbeans
104.8,24.8,28.3,26.23,59.48,6.29,215.52,coffee
27.4,55.3,16.8,27.84,40.81,5.35,90.67,pigeonpeas
108.3,44.9,34.3,18.68,63.81,6.75,65.1,maize
93.9,18.2,31.1,27.66,68.17,6.36,151.84,coffee
18.3,17.4,32.5,34.37,53.97,5.53,101.35,mango
95.7,10.9,49.5,31.96,94.34,6.14,28.3,muskmelon
22.3,131.8,193.4,18.67,83.25,6.03,73.77,grapes
108.8,77.9,46.0,27.11,76.36,5.66,118.46,banana
18.6,131.2,204.3,21.29,90.1,5.62,117.35,apple
17.2,129.1,201.2,21.2,82.37,6.46,72.16,grapes
38.3,58.0,18.8,30.04,67.1,7.27,66.01,blackgram
29.6,30.7,30.2,23.22,62.44,6.1,53.06,groundnut
