Crop,Growth_Stage,Water_Requirement_mm,Irrigation_Frequency_Days,Soil_Moisture_Alert_Threshold_%
papaya,Fruiting/Grain filling,21.8,2,48.8
papaya,Maturity,24.7,2,37.8
coconut,Sowing/Germination,22.4,5,58.5
coconut,Vegetative,27.2,4,36.1
coconut,Flowering,32.0,3,32.8
coconut,Fruiting/Grain filling,36.8,2,43.1
coconut,Maturity,41.6,2,48.9
cotton,Sowing/Germination,23.1,5,30.8
cotton,Vegetative,28.1,4,51.2
cotton,Flowering,33.0,3,57.6
cotton,Fruiting/Grain filling,37.9,2,32.4
cotton,Maturity,42.9,2,41.5
jute,Sowing/Germination,26.6,5,59.5
jute,Vegetative,32.3,4,49.0
jute,Flowering,38.0,3,53.3
jute,Fruiting/Grain filling,43.7,2,35.6
jute,Maturity,49.4,2,49.6
coffee,Sowing/Germination,15.4,7,35.8
coffee,Vegetative,18.7,6,55.2
coffee,Flowering,22.0,5,51.8
coffee,Fruiting/Grain filling,25.3,4,54.2
coffee,Maturity,28.6,3,41.3
groundnut,Sowing/Germination,16.1,3,38.2
groundnut,Vegetative,19.6,2,58.0
groundnut,Flowering,23.0,2,48.8
groundnut,Fruiting/Grain filling,26.4,2,49.2
groundnut,Maturity,29.9,2,47.4
sugarcane,Sowing/Germination,12.6,4,43.8
sugarcane,Vegetative,15.3,3,47.9
sugarcane,Flowering,18.0,2,33.2
sugarcane,Fruiting/Grain filling,20.7,2,38.5
sugarcane,Maturity,23.4,2,56.8
turmeric,Sowing/Germination,11.9,4,44.8
turmeric,Vegetative,14.4,3,40.8
turmeric,Flowering,17.0,2,55.1
turmeric,Fruiting/Grain filling,19.5,2,41.7
turmeric,Maturity,22.1,2,44.7
chilli,Sowing/Germination,10.5,9,32.2
chilli,Vegetative,12.8,8,58.8
chilli,Flowering,15.0,7,32.3
chilli,Fruiting/Grain filling,17.2,6,50.6
chilli,Maturity,19.5,5,41.3
soybean,Sowing/Germination,17.5,10,54.3
soybean,Vegetative,21.2,9,35.4
soybean,Flowering,25.0,8,30.3
soybean,Fruiting/Grain filling,28.7,7,35.4
soybean,Maturity,32.5,6,47.0
wheat,Sowing/Germination,23.8,3,33.5
wheat,Vegetative,28.9,2,40.3
wheat,Flowering,34.0,2,40.4
wheat,Fruiting/Grain filling,39.1,2,59.8
wheat,Maturity,44.2,2,48.0
