Crop,Soil_Type,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Recommended_Fertilizer
apple,Loamy,High,Low,Low,DAP + MOP
apple,Clayey,High,Low,Low,DAP + MOP
apple,Alluvial,High,Low,Low,DAP + MOP
orange,Black,High,High,High,Organic Compost / No chemical fertilizer needed
orange,Red,High,High,Low,MOP
orange,Sandy,Low,High,High,Urea
orange,Loamy,Low,High,Low,Urea + MOP
orange,Clayey,Low,Low,High,Urea + DAP
orange,Alluvial,High,Low,Low,DAP + MOP
papaya,Black,High,Low,Low,DAP + MOP
papaya,Red,Low,Low,Low,Urea + DAP + MOP (Balanced NPK)
papaya,Sandy,High,Low,Low,DAP + MOP
papaya,Loamy,Low,Low,High,Urea + DAP
papaya,Clayey,Low,Low,High,Urea + DAP
papaya,Alluvial,Low,Low,High,Urea + DAP
coconut,Black,Low,High,Low,Urea + MOP
coconut,Red,High,High,High,Organic Compost / No chemical fertilizer needed
coconut,Sandy,Low,High,High,Urea
coconut,Loamy,High,Low,Low,DAP + MOP
coconut,Clayey,High,High,Low,MOP
coconut,Alluvial,Low,Low,High,Urea + DAP
cotton,Black,High,Low,High,DAP
cotton,Red,Low,Low,High,Urea + DAP
cotton,Sandy,Low,Low,Low,Urea + DAP + MOP (Balanced NPK)
cotton,Loamy,Low,Low,Low,Urea + DAP + MOP (Balanced NPK)
cotton,Clayey,High,High,Low,MOP
cotton,Alluvial,High,High,High,Organic Compost / No chemical fertilizer needed
jute,Black,High,Low,High,DAP
jute,Red,Low,Low,Low,Urea + DAP + MOP (Balanced NPK)
jute,Sandy,Low,High,Low,Urea + MOP
jute,Loamy,Low,Low,High,Urea + DAP
jute,Clayey,Low,High,Low,Urea + MOP
jute,Alluvial,High,High,Low,MOP
coffee,Black,High,Low,Low,DAP + MOP
coffee,Red,High,High,High,Organic Compost / No chemical fertilizer needed
coffee,Sandy,Low,Low,Low,Urea + DAP + MOP (Balanced NPK)
coffee,Loamy,High,High,High,Organic Compost / No chemical fertilizer needed
coffee,Clayey,High,High,Low,MOP
coffee,Alluvial,Low,High,Low,Urea + MOP
groundnut,Black,High,High,High,Organic Compost / No chemical fertilizer needed
groundnut,Red,High,Low,High,DAP
groundnut,Sandy,High,High,High,Organic Compost / No chemical fertilizer needed
groundnut,Loamy,Low,High,High,Urea
groundnut,Clayey,High,Low,Low,DAP + MOP
groundnut,Alluvial,Low,Low,Low,Urea + DAP + MOP (Balanced NPK)
sugarcane,Black,Low,High,High,Urea
sugarcane,Red,Low,High,Low,Urea + MOP
sugarcane,Sandy,Low,High,High,Urea
sugarcane,Loamy,Low,High,High,Urea
sugarcane,Clayey,High,High,Low,MOP
sugarcane,Alluvial,Low,Low,Low,Urea + DAP + MOP (Balanced NPK)
turmeric,Black,High,High,Low,MOP
turmeric,Red,High,High,Low,MOP
turmeric,Sandy,High,High,High,Organic Compost / No chemical fertilizer needed
turmeric,Loamy,Low,High,Low,Urea + MOP
turmeric,Clayey,High,High,Low,MOP
turmeric,Alluvial,Low,High,Low,Urea + MOP
chilli,Black,Low,High,Low,Urea + MOP
chilli,Red,High,Low,High,DAP
chilli,Sandy,High,High,Low,MOP
chilli,Loamy,Low,Low,Low,Urea + DAP + MOP (Balanced NPK)
chilli,Clayey,High,High,High,Organic Compost / No chemical fertilizer needed
chilli,Alluvial,Low,Low,Low,Urea + DAP + MOP (Balanced NPK)
soybean,Black,Low,High,High,Urea
soybean,Red,Low,High,High,Urea
soybean,Sandy,High,Low,High,DAP
soybean,Loamy,Low,Low,Low,Urea + DAP + MOP (Balanced NPK)
soybean,Clayey,High,High,High,Organic Compost / No chemical fertilizer needed
soybean,Alluvial,Low,Low,High,Urea + DAP
wheat,Black,High,High,High,Organic Compost / No chemical fertilizer needed
wheat,Red,Low,High,High,Urea
wheat,Sandy,High,Low,Low,DAP + MOP
wheat,Loamy,Low,Low,High,Urea + DAP
wheat,Clayey,High,Low,Low,DAP + MOP
wheat,Alluvial,High,Low,High,DAP
